2, 1845 MHz, 6800 MHz, 229.44 W, 72
3, 1830 MHz, 6800 MHz, 212.38 W, 74
0, 1845 MHz, 6800 MHz, 202.97 W, 70
1, 1875 MHz, 6800 MHz, 210.54 W, 68
2, 1860 MHz, 6800 MHz, 217.68 W, 72
3, 1830 MHz, 6800 MHz, 216.07 W, 74
0, 1845 MHz, 6800 MHz, 203.48 W, 70
1, 1875 MHz, 6800 MHz, 223.31 W, 68
2, 1860 MHz, 6800 MHz, 224.94 W, 72
3, 1830 MHz, 6800 MHz, 199.41 W, 74
0, 1845 MHz, 6800 MHz, 199.34 W, 70
1, 1875 MHz, 6800 MHz, 228.85 W, 68
2, 1860 MHz, 6800 MHz, 233.00 W, 72
3, 1830 MHz, 6800 MHz, 203.08 W, 74
0, 1845 MHz, 6800 MHz, 193.94 W, 70
1, 1860 MHz, 6800 MHz, 222.48 W, 68
2, 1830 MHz, 6800 MHz, 230.68 W, 72
3, 1830 MHz, 6800 MHz, 217.72 W, 74
0, 1845 MHz, 6800 MHz, 186.11 W, 70
1, 1875 MHz, 6800 MHz, 226.49 W, 68
2, 1860 MHz, 6800 MHz, 232.58 W, 72
3, 1830 MHz, 6800 MHz, 203.97 W, 74
0, 1845 MHz, 6800 MHz, 201.40 W, 70
1, 1875 MHz, 6800 MHz, 218.10 W, 68
2, 1845 MHz, 6800 MHz, 223.89 W, 71
3, 1830 MHz, 6800 MHz, 206.55 W, 74
0, 1845 MHz, 6800 MHz, 198.89 W, 70
1, 1875 MHz, 6800 MHz, 223.34 W, 68
2, 1845 MHz, 6800 MHz, 229.15 W, 72
3, 1830 MHz, 6800 MHz, 197.68 W, 74
0, 1845 MHz, 6800 MHz, 187.58 W, 70
1, 1830 MHz, 6800 MHz, 227.96 W, 68
2, 1800 MHz, 6800 MHz, 230.43 W, 72
3, 1830 MHz, 6800 MHz, 202.28 W, 74
0, 1845 MHz, 6800 MHz, 205.62 W, 70
1, 1860 MHz, 6800 MHz, 225.46 W, 68
2, 1845 MHz, 6800 MHz, 226.11 W, 72
3, 1830 MHz, 6800 MHz, 211.15 W, 74
0, 1845 MHz, 6800 MHz, 205.28 W, 70
1, 1875 MHz, 6800 MHz, 228.10 W, 68
2, 1860 MHz, 6800 MHz, 229.51 W, 72
3, 1830 MHz, 6800 MHz, 207.21 W, 74
0, 1845 MHz, 6800 MHz, 205.34 W, 70
1, 1815 MHz, 6800 MHz, 227.34 W, 68
2, 1830 MHz, 6800 MHz, 233.03 W, 72
3, 1830 MHz, 6800 MHz, 222.32 W, 74
0, 1845 MHz, 6800 MHz, 204.07 W, 70
1, 1875 MHz, 6800 MHz, 227.12 W, 68
2, 1860 MHz, 6800 MHz, 227.73 W, 72
3, 1830 MHz, 6800 MHz, 217.23 W, 74
0, 1845 MHz, 6800 MHz, 195.30 W, 70
1, 1875 MHz, 6800 MHz, 228.93 W, 68
2, 1845 MHz, 6800 MHz, 230.50 W, 72
3, 1830 MHz, 6800 MHz, 216.68 W, 74
0, 1845 MHz, 6800 MHz, 186.61 W, 70
1, 1875 MHz, 6800 MHz, 231.90 W, 68
2, 1845 MHz, 6800 MHz, 237.72 W, 72
3, 1830 MHz, 6800 MHz, 241.09 W, 74
0, 1845 MHz, 6800 MHz, 210.73 W, 70
1, 1860 MHz, 6800 MHz, 222.51 W, 68
2, 1845 MHz, 6800 MHz, 229.98 W, 72
3, 1830 MHz, 6800 MHz, 218.90 W, 74
0, 1845 MHz, 6800 MHz, 115.01 W, 69
1, 1875 MHz, 6800 MHz, 122.31 W, 67
2, 1860 MHz, 6800 MHz, 126.34 W, 71
3, 1830 MHz, 6800 MHz, 141.44 W, 73
0, 1845 MHz, 6800 MHz, 202.15 W, 70
1, 1875 MHz, 6800 MHz, 201.86 W, 68
2, 1860 MHz, 6800 MHz, 212.44 W, 72
3, 1830 MHz, 6800 MHz, 224.53 W, 74
0, 1845 MHz, 6800 MHz, 201.60 W, 71
1, 1830 MHz, 6800 MHz, 220.48 W, 68
2, 1815 MHz, 6800 MHz, 224.07 W, 71
3, 1830 MHz, 6800 MHz, 204.78 W, 74
0, 1830 MHz, 6800 MHz, 204.11 W, 70
1, 1875 MHz, 6800 MHz, 234.14 W, 69
2, 1845 MHz, 6800 MHz, 235.06 W, 72
