2, 1860 MHz, 6800 MHz, 246.55 W, 70
3, 1830 MHz, 6800 MHz, 195.70 W, 73
0, 1860 MHz, 6800 MHz, 217.65 W, 70
1, 1875 MHz, 6800 MHz, 246.47 W, 69
2, 1860 MHz, 6800 MHz, 246.07 W, 71
3, 1830 MHz, 6800 MHz, 235.33 W, 74
0, 1860 MHz, 6800 MHz, 219.76 W, 69
1, 1875 MHz, 6800 MHz, 247.85 W, 68
2, 1845 MHz, 6800 MHz, 240.81 W, 70
3, 1830 MHz, 6800 MHz, 236.22 W, 73
0, 1845 MHz, 6800 MHz, 216.03 W, 70
1, 1875 MHz, 6800 MHz, 248.60 W, 69
2, 1845 MHz, 6800 MHz, 243.05 W, 71
3, 1830 MHz, 6800 MHz, 236.59 W, 74
0, 1845 MHz, 6800 MHz, 215.08 W, 70
1, 1875 MHz, 6800 MHz, 249.63 W, 69
2, 1845 MHz, 6800 MHz, 241.19 W, 71
3, 1830 MHz, 6800 MHz, 218.61 W, 74
0, 1845 MHz, 6800 MHz, 186.29 W, 70
1, 1875 MHz, 6800 MHz, 247.26 W, 69
2, 1845 MHz, 6800 MHz, 241.83 W, 71
3, 1830 MHz, 6800 MHz, 235.26 W, 74
0, 1845 MHz, 6800 MHz, 213.46 W, 70
1, 1875 MHz, 6800 MHz, 248.78 W, 69
2, 1845 MHz, 6800 MHz, 243.69 W, 72
3, 1830 MHz, 6800 MHz, 236.06 W, 75
0, 1845 MHz, 6800 MHz, 183.08 W, 69
1, 1875 MHz, 6800 MHz, 204.30 W, 69
2, 1845 MHz, 6800 MHz, 229.42 W, 71
3, 1830 MHz, 6800 MHz, 192.61 W, 74
0, 1845 MHz, 6800 MHz, 213.71 W, 70
1, 1860 MHz, 6800 MHz, 247.19 W, 69
2, 1845 MHz, 6800 MHz, 244.41 W, 72
3, 1830 MHz, 6800 MHz, 237.24 W, 75
0, 1845 MHz, 6800 MHz, 213.66 W, 70
1, 1875 MHz, 6800 MHz, 234.88 W, 69
2, 1845 MHz, 6800 MHz, 242.39 W, 72
3, 1830 MHz, 6800 MHz, 238.26 W, 75
0, 1845 MHz, 6800 MHz, 191.72 W, 70
1, 1875 MHz, 6800 MHz, 224.87 W, 69
2, 1845 MHz, 6800 MHz, 200.03 W, 72
3, 1830 MHz, 6800 MHz, 214.39 W, 75
0, 1845 MHz, 6800 MHz, 214.06 W, 70
1, 1875 MHz, 6800 MHz, 247.37 W, 69
2, 1845 MHz, 6800 MHz, 244.30 W, 72
3, 1830 MHz, 6800 MHz, 239.48 W, 75
0, 1845 MHz, 6800 MHz, 214.21 W, 70
1, 1875 MHz, 6800 MHz, 248.86 W, 70
2, 1845 MHz, 6800 MHz, 244.88 W, 72
3, 1830 MHz, 6800 MHz, 239.00 W, 75
0, 1845 MHz, 6800 MHz, 180.09 W, 70
1, 1875 MHz, 6800 MHz, 216.05 W, 69
2, 1845 MHz, 6800 MHz, 197.20 W, 72
3, 1830 MHz, 6800 MHz, 209.04 W, 75
0, 1845 MHz, 6800 MHz, 215.21 W, 70
1, 1875 MHz, 6800 MHz, 249.61 W, 70
2, 1845 MHz, 6800 MHz, 243.35 W, 72
3, 1830 MHz, 6800 MHz, 239.45 W, 75
0, 1845 MHz, 6800 MHz, 216.83 W, 70
1, 1875 MHz, 6800 MHz, 253.28 W, 70
2, 1845 MHz, 6800 MHz, 245.42 W, 72
3, 1830 MHz, 6800 MHz, 242.14 W, 76
0, 1845 MHz, 6800 MHz, 216.93 W, 71
1, 1875 MHz, 6800 MHz, 251.74 W, 70
2, 1845 MHz, 6800 MHz, 245.38 W, 72
3, 1830 MHz, 6800 MHz, 242.60 W, 75
0, 1845 MHz, 6800 MHz, 184.88 W, 70
1, 1875 MHz, 6800 MHz, 208.90 W, 69
2, 1845 MHz, 6800 MHz, 220.64 W, 72
3, 1830 MHz, 6800 MHz, 196.66 W, 75
0, 1845 MHz, 6800 MHz, 213.54 W, 71
1, 1875 MHz, 6800 MHz, 250.34 W, 70
2, 1845 MHz, 6800 MHz, 245.20 W, 72
3, 1830 MHz, 6800 MHz, 241.06 W, 76
0, 1845 MHz, 6800 MHz, 216.43 W, 71
1, 1875 MHz, 6800 MHz, 252.76 W, 70
2, 1845 MHz, 6800 MHz, 245.25 W, 73
3, 1830 MHz, 6800 MHz, 242.07 W, 76
0, 1845 MHz, 6800 MHz, 217.24 W, 71
1, 1875 MHz, 6800 MHz, 253.59 W, 70
2, 1845 MHz, 6800 MHz, 246.96 W, 73
3, 1830 MHz, 6800 MHz, 241.57 W, 76
0, 1845 MHz, 6800 MHz, 220.31 W, 70
1, 1875 MHz, 6800 MHz, 253.39 W, 69
2, 1845 MHz, 6800 MHz, 245.36 W, 71
3, 1830 MHz, 6800 MHz, 243.43 W, 75
0, 1845 MHz, 6800 MHz, 180.44 W, 71
1, 1875 MHz, 6800 MHz, 203.68 W, 70
2, 1845 MHz, 6800 MHz, 220.01 W, 72
3, 1830 MHz, 6800 MHz, 192.26 W, 76
0, 1845 MHz, 6800 MHz, 189.93 W, 71
1, 1875 MHz, 6800 MHz, 208.34 W, 70
2, 1845 MHz, 6800 MHz, 246.56 W, 73
3, 1830 MHz, 6800 MHz, 204.84 W, 76
0, 1845 MHz, 6800 MHz, 215.64 W, 71
1, 1875 MHz, 6800 MHz, 250.23 W, 70
2, 1845 MHz, 6800 MHz, 246.55 W, 73
3, 1830 MHz, 6800 MHz, 242.74 W, 76
0, 1845 MHz, 6800 MHz, 220.10 W, 71
1, 1875 MHz, 6800 MHz, 241.92 W, 70
2, 1845 MHz, 6800 MHz, 247.52 W, 73
3, 1830 MHz, 6800 MHz, 241.55 W, 76
0, 1845 MHz, 6800 MHz, 218.02 W, 71
1, 1875 MHz, 6800 MHz, 254.06 W, 70
2, 1845 MHz, 6800 MHz, 246.69 W, 73
3, 1830 MHz, 6800 MHz, 243.99 W, 77
0, 1845 MHz, 6800 MHz, 218.42 W, 71
1, 1875 MHz, 6800 MHz, 240.60 W, 70
2, 1845 MHz, 6800 MHz, 249.21 W, 73
3, 1830 MHz, 6800 MHz, 244.38 W, 77
0, 1845 MHz, 6800 MHz, 218.14 W, 71
1, 1860 MHz, 6800 MHz, 248.70 W, 70
2, 1845 MHz, 6800 MHz, 247.74 W, 73
3, 1830 MHz, 6800 MHz, 243.18 W, 76
0, 1845 MHz, 6800 MHz, 217.80 W, 71
1, 1875 MHz, 6800 MHz, 241.96 W, 70
2, 1845 MHz, 6800 MHz, 248.90 W, 73
3, 1830 MHz, 6800 MHz, 244.35 W, 77
0, 1845 MHz, 6800 MHz, 218.54 W, 71
1, 1875 MHz, 6800 MHz, 247.51 W, 70
2, 1845 MHz, 6800 MHz, 246.51 W, 73
3, 1830 MHz, 6800 MHz, 243.58 W, 77
0, 1845 MHz, 6800 MHz, 219.08 W, 71
1, 1875 MHz, 6800 MHz, 245.82 W, 70
2, 1845 MHz, 6800 MHz, 246.32 W, 73
3, 1830 MHz, 6800 MHz, 245.17 W, 77
0, 1845 MHz, 6800 MHz, 216.54 W, 71
1, 1875 MHz, 6800 MHz, 248.18 W, 70
2, 1845 MHz, 6800 MHz, 249.84 W, 73
3, 1830 MHz, 6800 MHz, 244.04 W, 77
0, 1845 MHz, 6800 MHz, 220.19 W, 71
1, 1875 MHz, 6800 MHz, 238.46 W, 70
2, 1845 MHz, 6800 MHz, 251.81 W, 73
3, 1830 MHz, 6800 MHz, 245.12 W, 77
0, 1845 MHz, 6800 MHz, 216.85 W, 71
1, 1875 MHz, 6800 MHz, 246.65 W, 71
2, 1845 MHz, 6800 MHz, 251.57 W, 73
3, 1830 MHz, 6800 MHz, 247.56 W, 76
0, 1845 MHz, 6800 MHz, 221.19 W, 71
1, 1860 MHz, 6800 MHz, 253.39 W, 70
2, 1845 MHz, 6800 MHz, 248.29 W, 73
3, 1830 MHz, 6800 MHz, 247.56 W, 76
0, 1845 MHz, 6800 MHz, 220.34 W, 72
1, 1860 MHz, 6800 MHz, 254.57 W, 70
2, 1845 MHz, 6800 MHz, 251.14 W, 73
3, 1830 MHz, 6800 MHz, 248.63 W, 76
0, 1845 MHz, 6800 MHz, 221.39 W, 72
1, 1875 MHz, 6800 MHz, 251.06 W, 70
2, 1845 MHz, 6800 MHz, 252.15 W, 73
3, 1830 MHz, 6800 MHz, 246.42 W, 77
0, 1845 MHz, 6800 MHz, 219.20 W, 72
1, 1860 MHz, 6800 MHz, 250.51 W, 70
2, 1845 MHz, 6800 MHz, 248.87 W, 73
3, 1830 MHz, 6800 MHz, 245.86 W, 77
0, 1845 MHz, 6800 MHz, 219.65 W, 72
1, 1875 MHz, 6800 MHz, 252.03 W, 70
2, 1845 MHz, 6800 MHz, 250.04 W, 74
3, 1830 MHz, 6800 MHz, 247.46 W, 77
0, 1845 MHz, 6800 MHz, 221.31 W, 72
1, 1875 MHz, 6800 MHz, 252.38 W, 71
2, 1845 MHz, 6800 MHz, 242.49 W, 73
3, 1830 MHz, 6800 MHz, 246.05 W, 77
0, 1845 MHz, 6800 MHz, 222.40 W, 72
1, 1875 MHz, 6800 MHz, 242.58 W, 70
2, 1845 MHz, 6800 MHz, 249.94 W, 74
3, 1830 MHz, 6800 MHz, 247.54 W, 77
0, 1845 MHz, 6800 MHz, 218.91 W, 72
1, 1875 MHz, 6800 MHz, 242.54 W, 70
2, 1845 MHz, 6800 MHz, 250.66 W, 74
3, 1830 MHz, 6800 MHz, 243.98 W, 77
0, 1845 MHz, 6800 MHz, 221.32 W, 72
1, 1875 MHz, 6800 MHz, 244.45 W, 70
2, 1845 MHz, 6800 MHz, 248.78 W, 74
3, 1830 MHz, 6800 MHz, 246.46 W, 77
0, 1845 MHz, 6800 MHz, 220.55 W, 72
1, 1875 MHz, 6800 MHz, 250.82 W, 70
2, 1845 MHz, 6800 MHz, 248.91 W, 74
3, 1830 MHz, 6800 MHz, 244.69 W, 77
0, 1845 MHz, 6800 MHz, 220.41 W, 72
1, 1860 MHz, 6800 MHz, 248.53 W, 70
2, 1845 MHz, 6800 MHz, 245.85 W, 74
3, 1830 MHz, 6800 MHz, 243.54 W, 77
0, 1845 MHz, 6800 MHz, 220.29 W, 72
1, 1875 MHz, 6800 MHz, 252.61 W, 70
2, 1845 MHz, 6800 MHz, 244.98 W, 74
3, 1830 MHz, 6800 MHz, 245.51 W, 77
0, 1845 MHz, 6800 MHz, 217.70 W, 72
1, 1860 MHz, 6800 MHz, 245.73 W, 70
2, 1845 MHz, 6800 MHz, 236.32 W, 73
3, 1830 MHz, 6800 MHz, 240.79 W, 77
0, 1845 MHz, 6800 MHz, 174.61 W, 72
1, 1875 MHz, 6800 MHz, 220.60 W, 70
2, 1830 MHz, 6800 MHz, 241.10 W, 73
3, 1830 MHz, 6800 MHz, 185.32 W, 77
0, 1845 MHz, 6800 MHz, 203.32 W, 71
1, 1875 MHz, 6800 MHz, 194.38 W, 70
2, 1845 MHz, 6800 MHz, 194.55 W, 73
3, 1830 MHz, 6800 MHz, 202.68 W, 76
0, 1845 MHz, 6800 MHz, 219.28 W, 70
1, 1860 MHz, 6800 MHz, 242.16 W, 69
2, 1845 MHz, 6800 MHz, 238.46 W, 72
3, 1830 MHz, 6800 MHz, 202.84 W, 76
0, 1845 MHz, 6800 MHz, 220.12 W, 72
1, 1875 MHz, 6800 MHz, 246.63 W, 70
2, 1845 MHz, 6800 MHz, 239.36 W, 74
3, 1830 MHz, 6800 MHz, 233.61 W, 77
0, 1845 MHz, 6800 MHz, 223.35 W, 72
1, 1860 MHz, 6800 MHz, 242.68 W, 70
2, 1830 MHz, 6800 MHz, 249.01 W, 73
3, 1830 MHz, 6800 MHz, 244.23 W, 77
0, 1845 MHz, 6800 MHz, 222.13 W, 72
1, 1875 MHz, 6800 MHz, 239.40 W, 70
2, 1845 MHz, 6800 MHz, 245.71 W, 73
