1, 1860 MHz, 6800 MHz, 245.48 W, 69
2, 1860 MHz, 6800 MHz, 254.51 W, 73
3, 1830 MHz, 6800 MHz, 238.72 W, 75
0, 1845 MHz, 6800 MHz, 220.76 W, 71
1, 1860 MHz, 6800 MHz, 246.15 W, 69
2, 1860 MHz, 6800 MHz, 250.89 W, 73
3, 1830 MHz, 6800 MHz, 236.86 W, 75
0, 1845 MHz, 6800 MHz, 221.60 W, 70
1, 1860 MHz, 6800 MHz, 246.93 W, 68
2, 1860 MHz, 6800 MHz, 244.54 W, 71
3, 1830 MHz, 6800 MHz, 219.30 W, 74
0, 1845 MHz, 6800 MHz, 214.66 W, 70
1, 1860 MHz, 6800 MHz, 214.96 W, 69
2, 1860 MHz, 6800 MHz, 228.02 W, 72
3, 1830 MHz, 6800 MHz, 194.08 W, 75
0, 1845 MHz, 6800 MHz, 221.04 W, 71
1, 1860 MHz, 6800 MHz, 244.62 W, 69
2, 1860 MHz, 6800 MHz, 253.21 W, 73
3, 1830 MHz, 6800 MHz, 226.04 W, 75
0, 1845 MHz, 6800 MHz, 222.41 W, 71
1, 1860 MHz, 6800 MHz, 248.49 W, 70
2, 1845 MHz, 6800 MHz, 254.84 W, 73
3, 1830 MHz, 6800 MHz, 238.84 W, 76
0, 1845 MHz, 6800 MHz, 215.25 W, 71
1, 1860 MHz, 6800 MHz, 225.01 W, 70
2, 1860 MHz, 6800 MHz, 234.54 W, 73
3, 1830 MHz, 6800 MHz, 220.98 W, 76
0, 1845 MHz, 6800 MHz, 98.34 W, 66
1, 1860 MHz, 6800 MHz, 115.54 W, 64
2, 1860 MHz, 6800 MHz, 123.97 W, 68
3, 1830 MHz, 6800 MHz, 109.90 W, 70
0, 1845 MHz, 6800 MHz, 212.35 W, 69
1, 1860 MHz, 6800 MHz, 234.21 W, 67
2, 1860 MHz, 6800 MHz, 245.84 W, 71
3, 1830 MHz, 6800 MHz, 233.51 W, 73
0, 1845 MHz, 6800 MHz, 189.63 W, 70
1, 1860 MHz, 6800 MHz, 201.19 W, 68
2, 1860 MHz, 6800 MHz, 211.45 W, 72
