2, 1860 MHz, 6800 MHz, 251.34 W, 73
3, 1830 MHz, 6800 MHz, 238.55 W, 75
0, 1845 MHz, 6800 MHz, 185.31 W, 70
1, 1860 MHz, 6800 MHz, 242.83 W, 68
2, 1860 MHz, 6800 MHz, 232.34 W, 72
3, 1830 MHz, 6800 MHz, 197.51 W, 75
0, 1845 MHz, 6800 MHz, 214.80 W, 71
1, 1860 MHz, 6800 MHz, 244.26 W, 69
2, 1860 MHz, 6800 MHz, 248.05 W, 73
3, 1830 MHz, 6800 MHz, 239.77 W, 76
0, 1845 MHz, 6800 MHz, 214.83 W, 70
1, 1860 MHz, 6800 MHz, 221.99 W, 68
2, 1860 MHz, 6800 MHz, 210.43 W, 72
3, 1830 MHz, 6800 MHz, 198.97 W, 75
0, 1845 MHz, 6800 MHz, 214.03 W, 71
1, 1860 MHz, 6800 MHz, 241.35 W, 69
2, 1860 MHz, 6800 MHz, 245.22 W, 73
3, 1830 MHz, 6800 MHz, 239.44 W, 76
0, 1845 MHz, 6800 MHz, 213.60 W, 71
1, 1860 MHz, 6800 MHz, 241.35 W, 69
2, 1845 MHz, 6800 MHz, 247.54 W, 73
3, 1830 MHz, 6800 MHz, 240.68 W, 76
0, 1845 MHz, 6800 MHz, 215.14 W, 71
1, 1860 MHz, 6800 MHz, 199.98 W, 69
2, 1845 MHz, 6800 MHz, 208.39 W, 73
3, 1830 MHz, 6800 MHz, 193.85 W, 76
0, 1845 MHz, 6800 MHz, 217.04 W, 71
1, 1860 MHz, 6800 MHz, 243.38 W, 69
2, 1845 MHz, 6800 MHz, 245.69 W, 73
3, 1830 MHz, 6800 MHz, 241.29 W, 76
0, 1845 MHz, 6800 MHz, 216.35 W, 70
1, 1860 MHz, 6800 MHz, 241.72 W, 68
2, 1845 MHz, 6800 MHz, 212.29 W, 72
3, 1830 MHz, 6800 MHz, 196.51 W, 75
0, 1845 MHz, 6800 MHz, 179.95 W, 71
1, 1860 MHz, 6800 MHz, 229.26 W, 69
2, 1860 MHz, 6800 MHz, 249.18 W, 73
3, 1830 MHz, 6800 MHz, 242.52 W, 76
0, 1845 MHz, 6800 MHz, 215.55 W, 71
1, 1860 MHz, 6800 MHz, 244.10 W, 69
2, 1860 MHz, 6800 MHz, 249.22 W, 73
3, 1830 MHz, 6800 MHz, 241.51 W, 76
0, 1845 MHz, 6800 MHz, 216.61 W, 70
1, 1860 MHz, 6800 MHz, 221.24 W, 68
