1, 1860 MHz, 6800 MHz, 221.96 W, 67
2, 1860 MHz, 6800 MHz, 235.55 W, 72
3, 1830 MHz, 6800 MHz, 214.11 W, 73
0, 1860 MHz, 6800 MHz, 205.09 W, 70
1, 1860 MHz, 6800 MHz, 222.10 W, 67
2, 1860 MHz, 6800 MHz, 234.48 W, 72
3, 1830 MHz, 6800 MHz, 213.43 W, 73
0, 1860 MHz, 6800 MHz, 206.52 W, 70
1, 1860 MHz, 6800 MHz, 222.32 W, 67
2, 1860 MHz, 6800 MHz, 234.48 W, 72
3, 1830 MHz, 6800 MHz, 211.97 W, 73
0, 1845 MHz, 6800 MHz, 217.33 W, 71
1, 1860 MHz, 6800 MHz, 221.51 W, 68
2, 1860 MHz, 6800 MHz, 234.25 W, 72
3, 1830 MHz, 6800 MHz, 219.58 W, 74
0, 1845 MHz, 6800 MHz, 100.44 W, 67
1, 1860 MHz, 6800 MHz, 117.39 W, 64
2, 1860 MHz, 6800 MHz, 124.36 W, 68
3, 1830 MHz, 6800 MHz, 110.12 W, 70
0, 1860 MHz, 6800 MHz, 97.13 W, 65
1, 1860 MHz, 6800 MHz, 111.19 W, 62
2, 1860 MHz, 6800 MHz, 123.34 W, 67
3, 1845 MHz, 6800 MHz, 107.16 W, 68
0, 1860 MHz, 6800 MHz, 197.61 W, 69
1, 1860 MHz, 6800 MHz, 213.52 W, 66
2, 1860 MHz, 6800 MHz, 227.31 W, 71
3, 1845 MHz, 6800 MHz, 210.34 W, 72
0, 1860 MHz, 6800 MHz, 200.42 W, 69
1, 1860 MHz, 6800 MHz, 214.88 W, 66
2, 1860 MHz, 6800 MHz, 228.47 W, 71
3, 1845 MHz, 6800 MHz, 214.78 W, 73
0, 1860 MHz, 6800 MHz, 200.47 W, 70
1, 1860 MHz, 6800 MHz, 214.30 W, 67
2, 1860 MHz, 6800 MHz, 229.48 W, 71
3, 1845 MHz, 6800 MHz, 215.86 W, 73
0, 1860 MHz, 6800 MHz, 202.53 W, 69
1, 1860 MHz, 6800 MHz, 216.18 W, 66
2, 1860 MHz, 6800 MHz, 194.79 W, 71
3, 1845 MHz, 6800 MHz, 181.92 W, 73
0, 1860 MHz, 6800 MHz, 180.82 W, 70
1, 1860 MHz, 6800 MHz, 212.96 W, 67
