3, 1830 MHz, 6800 MHz, 210.00 W, 72
0, 1845 MHz, 6800 MHz, 192.49 W, 69
1, 1875 MHz, 6800 MHz, 220.31 W, 67
2, 1860 MHz, 6800 MHz, 225.53 W, 71
3, 1830 MHz, 6800 MHz, 205.58 W, 72
0, 1845 MHz, 6800 MHz, 198.13 W, 69
1, 1875 MHz, 6800 MHz, 222.72 W, 67
2, 1860 MHz, 6800 MHz, 213.03 W, 71
3, 1830 MHz, 6800 MHz, 205.73 W, 73
0, 1845 MHz, 6800 MHz, 199.18 W, 69
1, 1875 MHz, 6800 MHz, 224.31 W, 67
2, 1860 MHz, 6800 MHz, 223.87 W, 71
3, 1830 MHz, 6800 MHz, 204.51 W, 72
0, 1800 MHz, 6800 MHz, 193.48 W, 69
1, 1875 MHz, 6800 MHz, 213.32 W, 66
2, 1860 MHz, 6800 MHz, 208.14 W, 70
3, 1830 MHz, 6800 MHz, 187.04 W, 71
0, 1845 MHz, 6800 MHz, 195.58 W, 69
1, 1875 MHz, 6800 MHz, 219.98 W, 67
2, 1860 MHz, 6800 MHz, 227.38 W, 71
3, 1830 MHz, 6800 MHz, 204.32 W, 73
0, 1845 MHz, 6800 MHz, 130.99 W, 68
1, 1875 MHz, 6800 MHz, 122.09 W, 66
2, 1860 MHz, 6800 MHz, 147.94 W, 70
3, 1830 MHz, 6800 MHz, 129.07 W, 71
0, 1845 MHz, 6800 MHz, 193.22 W, 69
1, 1875 MHz, 6800 MHz, 220.82 W, 67
2, 1845 MHz, 6800 MHz, 222.60 W, 71
3, 1830 MHz, 6800 MHz, 209.94 W, 73
0, 1845 MHz, 6800 MHz, 128.39 W, 69
1, 1845 MHz, 6800 MHz, 167.45 W, 67
2, 1860 MHz, 6800 MHz, 249.05 W, 71
3, 1830 MHz, 6800 MHz, 220.21 W, 72
0, 1845 MHz, 6800 MHz, 194.60 W, 69
1, 1875 MHz, 6800 MHz, 211.36 W, 67
2, 1860 MHz, 6800 MHz, 230.97 W, 71
3, 1830 MHz, 6800 MHz, 206.40 W, 73
0, 1845 MHz, 6800 MHz, 209.81 W, 69
1, 1875 MHz, 6800 MHz, 226.74 W, 67
2, 1845 MHz, 6800 MHz, 244.55 W, 71
3, 1830 MHz, 6800 MHz, 221.37 W, 73
0, 1845 MHz, 6800 MHz, 198.63 W, 69
1, 1875 MHz, 6800 MHz, 219.95 W, 67
2, 1860 MHz, 6800 MHz, 226.48 W, 71
3, 1830 MHz, 6800 MHz, 205.92 W, 73
0, 1845 MHz, 6800 MHz, 198.83 W, 69
1, 1875 MHz, 6800 MHz, 209.28 W, 67
2, 1860 MHz, 6800 MHz, 230.71 W, 71
