0, 1845 MHz, 6800 MHz, 214.03 W, 70
1, 1860 MHz, 6800 MHz, 242.37 W, 69
2, 1860 MHz, 6800 MHz, 241.42 W, 72
3, 1830 MHz, 6800 MHz, 230.30 W, 75
0, 1845 MHz, 6800 MHz, 214.77 W, 70
1, 1860 MHz, 6800 MHz, 243.77 W, 69
2, 1860 MHz, 6800 MHz, 244.22 W, 72
3, 1830 MHz, 6800 MHz, 239.17 W, 75
0, 1845 MHz, 6800 MHz, 215.31 W, 70
1, 1860 MHz, 6800 MHz, 241.74 W, 69
2, 1860 MHz, 6800 MHz, 242.86 W, 73
3, 1830 MHz, 6800 MHz, 239.19 W, 76
0, 1845 MHz, 6800 MHz, 177.29 W, 70
1, 1860 MHz, 6800 MHz, 203.58 W, 68
2, 1860 MHz, 6800 MHz, 201.07 W, 72
3, 1830 MHz, 6800 MHz, 190.95 W, 74
0, 1845 MHz, 6800 MHz, 157.61 W, 69
1, 1860 MHz, 6800 MHz, 176.27 W, 67
2, 1860 MHz, 6800 MHz, 184.84 W, 71
3, 1830 MHz, 6800 MHz, 170.20 W, 73
0, 1845 MHz, 6800 MHz, 155.78 W, 68
1, 1860 MHz, 6800 MHz, 174.13 W, 66
2, 1860 MHz, 6800 MHz, 183.85 W, 70
3, 1830 MHz, 6800 MHz, 167.85 W, 72
0, 1860 MHz, 6800 MHz, 94.95 W, 65
1, 1860 MHz, 6800 MHz, 112.74 W, 63
2, 1860 MHz, 6800 MHz, 123.59 W, 67
3, 1830 MHz, 6800 MHz, 109.20 W, 68
0, 1860 MHz, 6800 MHz, 217.29 W, 69
1, 1860 MHz, 6800 MHz, 234.88 W, 66
2, 1860 MHz, 6800 MHz, 248.59 W, 71
3, 1830 MHz, 6800 MHz, 234.43 W, 73
0, 1860 MHz, 6800 MHz, 217.41 W, 70
1, 1860 MHz, 6800 MHz, 199.67 W, 67
2, 1860 MHz, 6800 MHz, 241.43 W, 72
3, 1830 MHz, 6800 MHz, 230.07 W, 74
0, 1860 MHz, 6800 MHz, 221.22 W, 70
1, 1860 MHz, 6800 MHz, 241.49 W, 68
2, 1860 MHz, 6800 MHz, 251.08 W, 72
3, 1830 MHz, 6800 MHz, 239.40 W, 75
0, 1845 MHz, 6800 MHz, 182.88 W, 70
1, 1860 MHz, 6800 MHz, 238.88 W, 68
2, 1860 MHz, 6800 MHz, 251.58 W, 72
3, 1830 MHz, 6800 MHz, 236.87 W, 75
0, 1845 MHz, 6800 MHz, 214.41 W, 70
1, 1860 MHz, 6800 MHz, 239.21 W, 68
2, 1860 MHz, 6800 MHz, 249.85 W, 72
3, 1830 MHz, 6800 MHz, 239.45 W, 75
0, 1845 MHz, 6800 MHz, 204.82 W, 70
1, 1860 MHz, 6800 MHz, 201.24 W, 68
2, 1860 MHz, 6800 MHz, 207.89 W, 72
3, 1830 MHz, 6800 MHz, 196.90 W, 75
0, 1845 MHz, 6800 MHz, 212.79 W, 70
1, 1860 MHz, 6800 MHz, 240.51 W, 68
2, 1860 MHz, 6800 MHz, 249.29 W, 72
3, 1830 MHz, 6800 MHz, 237.61 W, 75
0, 1845 MHz, 6800 MHz, 212.00 W, 69
1, 1860 MHz, 6800 MHz, 198.53 W, 68
2, 1860 MHz, 6800 MHz, 246.91 W, 72
3, 1830 MHz, 6800 MHz, 240.97 W, 74
0, 1845 MHz, 6800 MHz, 213.19 W, 70
1, 1860 MHz, 6800 MHz, 242.01 W, 68
2, 1845 MHz, 6800 MHz, 249.79 W, 72
3, 1830 MHz, 6800 MHz, 240.74 W, 75
0, 1845 MHz, 6800 MHz, 214.39 W, 70
1, 1860 MHz, 6800 MHz, 241.71 W, 69
2, 1860 MHz, 6800 MHz, 244.94 W, 72
3, 1830 MHz, 6800 MHz, 240.94 W, 76
0, 1845 MHz, 6800 MHz, 182.86 W, 70
